source_id,source_name,source_description,source_type,link,access_date,confidence_level,assessment_method,assessment_date,note
SRC_00001,report_power_to_ammonia_2018,Power-to-ammonia in future North European 100 %  renewable power and heat system,
SRC_00002,conversion_parametrization,Calculating Input Output Ratios of Reactions,
SRC_00003,report_danish_energy_2025,Report from Danish Energy Agency,
SRC_00004,paper_CCGT_2024,Modeling combined-cycle power plants in a detailed electricity market,
SRC_00005,report_VSE_2025,"VSE Energiezukunft 2050, Update 2025",
SRC_00006,report_VSE_2022,"VSE Energiezukunft 2050, Studie 2022",
SRC_00007,source_share,Temporary reference ID for input and output shares,
SRC_00008,report_jrc_2021,nan,
SRC_00009,assumption_reFuelWP3_2025,Expert Assumption,
SRC_00010,book_hydropower_2020,Future Energy (Third Edition),
SRC_00011,assumption_PVcostProjection,"4/3/2% cost reduction per year in 2030/2040/2050, see ref_id ""paper_PVcostProjection_2025""",
SRC_00012,assumption_Empa_PV_OM,"currently FOM is 15-25 CHF/kW.year, may reduce to 10 in 2050",
SRC_00013,paper_alpinePV_2024,ETHZ paper on Alpine PV cost and financial viability,
SRC_00014,linear_interpolation_2020_2050,linear interpolate the values between 2020 and 2050,
SRC_00015,paper_biogas,Biogas-to-biomethane upgrading: A comparative review and assessment in a life cycle perspective,
SRC_00016,paper_müller_PowerX_2025,The costs of future energy technologies: A comprehensive review of power-to-X processes,
SRC_00017,report_danish_energy_2026,Report from Danish Energy Agency,
SRC_00018,paper_RWGS,Technology Readiness and Emerging Prospects of CoupledCatalytic Reactions for Sustainable Chemical Value Chains,
SRC_00019,Allgoewer_2024,Paper by ETH from PATHFNDR,
SRC_00020,paper_mutschler_2018,nan,
SRC_00021,paper_e-fuel production,Forging a sustainable sky: Unveiling the pillars of aviation e-fuel production for carbon emission circularity,
SRC_00022,paper_Msw to syngas,"Municipal Solid Waste Gasification: Technologies, Process Parameters, and Sustainable Valorization of By-Products in a Circular Economy",
SRC_00023,AECOM_2022,AECOM 2022: Next Generation Carbon Capture Technology Technoeconomic Analysis Work Package 6,
SRC_00024,biochar_jcp_2025,Financial feasibility of biochar production: A comparative analysis of business scenarios,
SRC_00025,report_BFE_EP2050plus_CCS_2020,"BFE Energieperspektiven 2050+, Excursus on Negative Emission Technologies and CCS (2020)",
